Building Type,Square Footage,Number of Occupants,Appliances Used,Average Temperature,Day of Week,Energy Consumption
0,7063,76,10,29.84,0,2713.95
1,44372,66,45,16.72,0,5744.99
2,19255,37,17,14.3,1,4101.24
0,13265,14,41,32.82,0,3009.14
1,13375,26,18,11.92,0,3279.17
1,37377,26,32,16.24,1,4687.67
2,38638,92,14,21.01,1,5526.83
0,34950,60,18,28.24,0,4116.32
2,29741,99,44,13.08,0,5841.65
0,17467,42,36,28.84,0,3419.13
1,27702,71,14,11.3,1,4318.61
1,47265,4,44,25.38,0,5206.34
0,19139,97,34,17.35,0,4070.21
0,17820,11,8,17.8,1,2571.98
0,45868,97,19,22.45,1,5031.14
1,9578,54,47,13.56,1,3891.12
1,4310,34,44,24.62,0,3362.42
2,38446,97,20,23.99,1,5672.37
2,7460,32,23,27.87,0,3563.67
0,10880,19,48,22.67,1,3080.67
1,37912,24,43,10.38,0,4993.7
2,14699,83,40,32.92,0,4750.37
2,18274,32,22,17.87,0,4134.35
1,23898,55,16,26.95,1,3930.14
0,41498,39,27,18.67,1,4411.53
2,41238,22,7,31.95,0,4812.15
0,35611,8,5,23.67,1,3342.21
2,49653,63,12,29.54,0,5754.96
0,30259,35,14,15.39,1,3566.01
0,27072,12,30,32.89,1,3409.14
1,13499,75,41,12.97,0,4230.09
0,46749,22,36,15.41,1,4700.42
1,22931,24,34,24.93,0,3991.89
2,29341,2,13,11.36,1,4190.25
0,3800,5,26,20.96,0,2205.2
0,49094,33,11,14.17,0,4483.83
0,10403,25,26,21.34,0,2733.45
2,31919,77,20,22.84,1,5151.75
0,1841,31,13,15.09,1,2086.62
0,42188,64,43,24.21,0,5038.34
2,20920,89,31,32.76,1,4892.22
1,12093,58,35,10.34,0,3882.94
0,27845,85,21,29.36,1,4015.46
0,36832,20,30,31.23,1,3985.45
2,45162,85,45,12.92,0,6493.48
2,14105,73,26,14.95,0,4430.49
2,34914,99,18,33.43,1,5428.56
0,16025,35,16,21.39,0,2914.3
2,49043,26,48,28.64,1,6028.93
0,29898,63,13,18.75,1,3791.16
0,12615,85,45,11.64,0,3872.54
1,3308,2,24,18.69,0,2621.96
2,35031,3,13,13.09,0,4526.12
0,3211,78,10,28.31,1,2499.0
0,10496,21,17,31.54,1,2417.11
2,49997,15,22,26.78,0,5505.97
2,38697,17,35,34.03,1,5134.71
2,36484,69,43,15.98,1,5794.31
2,28587,24,14,23.97,1,4329.5
2,28880,89,10,22.15,1,4923.27
2,7559,27,44,10.08,0,4027.56
1,6590,89,32,31.24,0,3753.31
2,44528,78,22,15.51,1,5868.84
1,6288,33,20,25.24,0,2968.2
0,9627,84,41,25.93,1,3511.71
1,36868,10,22,15.14,1,4307.72
1,6859,25,47,25.8,1,3403.93
0,35988,57,47,17.34,1,4722.68
0,18185,97,15,29.66,0,3580.93
2,35633,44,19,11.91,1,5042.08
2,45359,75,35,26.86,0,6133.65
2,36335,6,33,17.4,0,4999.76
0,11844,2,22,20.11,1,2451.63
2,12454,68,35,29.35,1,4355.96
1,13581,73,7,20.74,0,3495.35
2,27428,48,40,21.62,1,5043.32
1,16004,23,47,10.9,1,3915.71
1,48351,4,18,24.42,0,4745.47
2,37880,34,11,11.92,0,4944.4
2,47181,40,16,11.52,0,5571.47
1,13587,68,13,25.69,0,3540.91
2,14882,48,40,27.71,0,4435.54
1,49038,43,25,14.5,0,5359.38
0,41470,77,3,32.58,0,4290.61
1,20579,44,19,22.34,0,3787.26
0,25780,59,33,32.21,0,3927.94
2,44909,4,4,22.06,0,4805.17
0,2259,22,45,24.88,1,2608.53
0,6654,21,24,15.0,0,2497.72
1,13303,22,32,25.42,0,3448.03
0,26183,68,3,16.82,1,3465.03
1,16434,24,24,17.95,0,3501.94
2,4763,86,32,15.79,0,4209.18
0,29625,55,2,10.62,1,3518.13
1,44361,30,39,22.49,1,5185.62
1,560,68,3,33.63,1,2599.86
0,8745,28,30,17.72,1,2728.63
1,4590,6,35,15.55,0,2961.76
2,19842,15,11,11.29,0,3855.63
1,40166,70,35,13.05,1,5343.05
1,16905,88,26,17.36,1,4158.47
1,10647,46,41,13.13,0,3796.71
1,4970,21,17,29.93,1,2648.85
0,2692,83,13,23.67,0,2656.26
2,981,3,12,28.85,0,2724.82
2,6683,39,41,15.77,0,4015.3
1,6776,84,29,17.2,0,3722.8
0,32153,75,24,33.11,1,4172.08
1,19287,77,34,33.56,1,4246.55
0,1399,32,15,26.19,0,2109.01
0,18949,64,42,23.14,1,3811.73
0,22254,10,17,24.49,0,2980.23
0,33421,41,1,26.97,0,3516.18
0,25262,66,1,29.74,0,3344.42
0,40325,86,31,18.88,1,4901.86
1,36897,30,32,20.36,1,4683.04
2,46417,82,20,23.44,0,5973.63
2,22515,60,30,13.61,1,4757.71
1,17459,3,37,27.75,0,3554.19
0,39714,82,41,16.32,0,5094.1
2,43501,83,31,26.67,0,6041.7
0,7787,73,35,19.29,0,3272.91
1,16958,2,49,30.66,0,3744.59
2,40211,75,21,28.17,0,5589.71
2,6484,19,36,22.89,1,3619.74
0,41496,73,2,14.29,1,4273.37
1,20672,46,10,18.4,0,3651.6
0,9101,15,4,12.87,0,2170.7
1,17827,35,4,24.93,0,3246.71
1,12061,40,4,14.57,1,3010.22
1,11862,5,36,33.46,1,3195.8
1,24863,50,40,25.81,1,4414.12
1,9019,60,48,31.53,0,3903.29
1,6224,15,39,28.75,1,3097.45
1,44013,15,49,10.43,1,5278.51
0,30515,93,3,32.87,0,3901.38
0,49646,12,12,18.68,0,4298.92
0,48903,70,22,23.91,0,5015.61
1,9517,82,46,13.2,1,4149.86
1,29878,16,41,31.63,1,4315.75
0,18771,66,4,14.36,1,3106.77
0,34072,12,13,29.68,1,3435.18
2,9095,5,34,29.59,1,3536.81
2,26792,86,10,15.01,0,4874.53
1,45580,68,4,33.33,0,4922.36
0,14525,58,24,27.49,1,3148.79
2,26529,54,47,32.58,1,5143.54
0,19563,65,27,22.5,1,3555.64
2,13525,21,25,32.25,0,3775.01
0,18086,21,8,17.75,1,2685.54
2,31407,2,39,23.03,0,4805.22
2,36454,72,40,10.71,1,5789.16
1,35207,16,44,32.34,0,4688.65
1,20395,42,27,15.63,0,3951.62
0,48382,95,1,31.98,0,4779.18
1,12200,95,8,29.74,0,3621.32
2,41131,12,14,13.25,1,4890.31
2,21177,69,7,32.54,0,4276.15
0,11182,13,45,12.11,1,3028.56
0,3208,68,29,14.07,1,2850.05
0,2853,81,37,23.68,1,3074.25
2,9496,85,21,28.01,1,4104.73
1,14653,47,4,13.55,1,3214.88
2,40829,52,4,32.3,1,4979.96
2,34508,98,24,10.55,0,5682.63
1,32396,23,43,28.56,0,4616.98
2,40185,73,23,34.62,0,5576.14
2,37765,92,35,25.8,1,5879.25
1,24321,78,17,34.79,0,4212.08
2,30366,21,28,28.96,1,4643.49
0,7991,13,18,21.04,1,2284.33
0,29041,10,10,21.71,0,3193.51
2,21170,89,8,27.28,0,4522.1
2,32098,4,13,27.18,1,4269.02
1,23911,93,48,31.37,0,4978.71
0,17529,43,44,19.34,0,3639.76
2,8507,36,28,19.36,0,3798.54
1,36159,79,30,34.31,0,5076.4
1,9002,99,41,19.66,0,4211.82
0,40415,8,48,12.44,0,4548.56
1,13761,3,28,31.36,0,3171.27
0,14007,91,34,17.79,1,3701.39
1,1468,21,10,33.58,0,2365.5
2,13308,16,41,27.82,0,4056.28
2,46148,30,39,33.84,1,5718.21
2,30469,55,26,28.11,0,5002.91
2,9442,25,31,15.3,0,3815.61
1,28571,25,21,26.8,1,3964.54
1,26672,8,1,19.76,0,3384.78
1,25291,83,17,17.14,1,4348.86
2,22616,31,47,17.91,0,4841.23
2,33726,70,34,10.13,0,5565.67
0,2896,51,27,11.96,0,2684.98
2,27876,52,26,10.39,1,4881.83
2,43374,64,15,11.73,0,5600.03
0,32487,95,49,16.69,0,5020.9
1,44085,10,30,10.68,0,4900.84
1,13721,8,10,20.28,1,2864.63
2,36559,73,28,14.86,1,5543.64
2,21453,58,6,19.1,0,4227.17
0,49810,65,33,24.63,0,5227.37
2,27245,90,44,33.51,1,5474.72
2,7283,88,44,19.54,0,4576.47
2,47827,44,23,30.84,1,5637.13
2,16922,57,19,20.07,1,4195.75
0,29206,41,31,24.01,0,3920.23
1,6616,1,21,17.83,0,2721.67
0,22010,83,21,21.77,1,3741.64
1,3593,88,41,22.27,1,3768.3
2,15874,89,14,28.98,1,4318.82
0,10416,33,14,23.74,1,2512.1
1,9205,93,49,16.33,1,4288.58
2,29902,15,34,16.79,1,4741.16
1,7714,51,7,13.32,0,3019.12
2,24854,60,27,34.51,1,4710.15
2,29269,35,19,18.63,1,4600.3
2,45055,82,22,17.47,1,5925.39
0,17843,15,1,33.38,0,2445.25
0,15817,85,47,25.14,1,3955.17
0,34768,63,47,33.23,0,4692.24
0,8625,70,46,22.83,1,3437.1
0,5609,81,2,33.21,0,2514.4
1,35942,87,11,30.09,1,4736.66
2,45047,13,45,16.46,0,5750.07
2,20316,42,24,16.95,1,4331.04
1,34497,34,35,18.11,1,4674.31
0,15858,30,2,29.99,1,2482.94
0,4262,4,38,31.41,0,2406.04
2,9146,42,44,30.72,1,4103.69
2,16077,58,19,16.61,0,4230.79
2,24660,32,5,23.67,1,4034.64
1,48338,2,18,20.62,1,4693.8
1,24577,86,24,24.53,1,4446.22
0,11803,32,1,27.57,0,2342.32
1,16146,22,30,25.81,1,3498.27
2,11671,63,8,34.74,1,3699.87
0,17775,90,1,21.06,0,3253.47
1,23411,98,23,20.5,0,4558.07
2,43380,31,33,34.69,1,5465.54
0,27088,43,34,20.96,1,3859.59
1,34433,58,48,29.34,0,5164.94
1,12798,80,4,11.3,0,3513.41
0,15843,36,37,22.53,1,3279.51
1,9946,35,40,16.32,1,3565.7
0,22542,58,47,32.58,1,3984.2
0,15096,16,11,10.88,1,2580.42
1,40911,97,46,28.14,1,5794.83
1,44981,81,20,27.82,0,5369.95
0,33897,55,30,32.48,0,4232.44
1,35935,55,37,23.7,0,5018.25
2,1314,51,46,29.12,1,3850.11
0,8283,34,30,19.68,1,2755.75
0,2613,11,2,29.34,0,1683.95
1,10957,86,49,22.06,1,4277.54
2,35301,28,45,15.43,1,5367.9
0,23765,12,3,33.13,0,2752.62
2,32085,38,31,16.0,0,5074.24
2,4238,22,20,25.08,0,3256.52
1,49090,70,17,20.78,1,5390.61
2,7237,62,34,19.48,0,4114.45
2,16376,7,7,27.65,1,3390.53
2,45920,54,34,34.66,1,5842.72
0,34242,32,16,20.35,1,3750.37
0,7065,4,14,30.62,1,2020.15
0,47328,12,3,32.59,1,3883.46
0,3880,45,3,24.75,0,2130.26
2,3868,75,24,33.81,0,3804.34
2,626,2,33,23.52,1,3093.71
0,23551,93,37,26.83,0,4263.39
1,605,16,36,16.95,0,2875.48
2,12164,82,41,23.04,0,4683.0
2,35698,91,29,32.83,0,5660.75
0,43694,45,46,20.91,1,4950.15
1,21109,15,33,13.98,0,3845.57
2,35867,76,12,10.29,1,5241.91
2,10861,14,36,18.67,1,3809.69
2,18271,23,28,23.38,0,4136.67
2,18174,68,14,21.53,1,4261.05
2,47557,98,30,24.87,0,6383.5
0,26010,7,36,31.06,1,3435.21
2,5799,37,23,34.76,1,3446.15
1,26111,26,49,15.85,0,4516.31
0,22276,71,22,11.22,0,3757.72
0,49374,13,28,29.4,0,4561.71
2,37930,36,19,25.7,1,5008.0
1,8573,86,19,27.88,1,3529.25
2,1507,58,17,17.56,1,3407.54
2,23736,47,12,17.29,0,4360.36
1,11316,60,47,29.42,1,3958.7
2,24252,36,45,22.91,0,4908.05
1,7424,25,47,14.83,0,3537.04
2,19074,82,39,17.25,0,5017.45
2,11116,64,17,30.65,0,3932.56
2,41306,46,41,19.34,0,5798.61
2,2242,9,37,11.08,1,3386.72
1,34520,96,27,29.12,1,5080.4
0,2943,13,29,17.8,0,2318.15
0,45123,5,47,13.18,0,4730.23
2,34657,21,47,20.15,0,5332.1
0,42255,78,47,27.14,0,5247.04
1,12701,64,45,13.45,0,4157.81
2,46507,41,30,22.6,0,5772.35
2,6650,87,33,19.31,1,4265.97
1,29421,16,21,34.73,0,3927.4
0,47563,41,8,18.18,1,4357.27
1,33782,71,40,29.61,1,5051.07
0,42474,62,45,18.51,0,5101.13
2,27416,25,37,15.11,1,4785.27
2,22091,44,30,11.25,1,4588.3
2,27920,28,1,20.84,0,4141.78
1,2969,92,32,25.47,0,3631.08
1,43506,12,34,11.1,0,4969.79
2,23361,26,26,29.05,1,4302.81
1,28452,10,43,26.04,1,4252.4
2,47914,47,12,33.71,1,5437.17
0,1226,58,3,22.79,0,2137.35
2,9166,15,3,11.8,1,3109.29
1,9283,41,40,12.19,0,3663.21
2,7140,65,11,13.97,0,3707.17
1,36721,66,46,15.58,1,5338.17
1,22092,4,1,12.19,1,3103.65
1,22026,70,12,21.58,1,3933.39
1,17161,46,27,17.59,0,3820.1
2,16741,19,27,23.89,1,3947.61
1,24150,46,21,28.41,1,3945.47
2,35388,13,49,15.09,0,5353.94
1,6599,27,28,12.39,1,3097.98
1,36322,8,25,27.52,1,4258.49
2,7319,21,37,31.57,0,3708.08
2,38501,84,3,32.04,0,5214.85
0,41589,50,34,33.2,0,4643.44
1,45850,49,44,24.36,0,5590.7
0,23390,50,23,23.8,1,3510.52
1,18273,37,38,33.06,0,3928.35
0,26885,94,23,16.63,1,4161.08
2,33839,64,11,27.67,0,4963.62
2,42373,18,38,27.13,1,5422.98
2,47682,20,37,26.45,1,5691.84
2,48820,51,35,30.75,0,6047.23
2,32732,60,19,31.74,0,5007.9
0,49969,32,14,26.06,1,4468.13
0,37009,79,18,20.41,0,4448.42
0,33056,3,11,32.92,1,3238.18
1,3483,79,5,10.37,1,3012.32
1,13357,83,31,10.63,0,4114.7
1,25326,33,41,21.22,1,4310.2
1,47178,27,16,24.14,1,4828.19
1,31695,99,35,28.5,1,5132.23
2,32321,58,45,32.79,1,5432.11
1,4994,79,38,29.59,0,3701.73
2,32390,37,7,25.09,1,4504.03
2,31178,68,8,32.25,0,4787.64
0,39563,16,38,28.7,0,4304.63
1,11041,68,41,20.88,1,3947.63
0,22859,24,22,32.87,0,3208.61
0,41309,55,45,15.4,0,4988.44
0,18655,13,11,23.22,0,2716.66
0,9212,77,37,25.66,0,3392.31
0,21195,18,21,16.16,1,3078.96
2,35332,23,29,25.76,0,4997.78
0,38641,9,3,19.52,1,3484.46
1,25074,41,18,26.37,1,3891.86
1,9077,26,12,18.34,1,2862.17
0,12222,80,35,20.16,1,3510.28
2,15849,37,15,18.92,1,3867.85
0,19629,21,39,12.37,0,3459.59
2,48424,49,28,11.94,0,5961.49
2,12682,62,32,34.54,0,4271.39
0,26431,91,14,25.79,0,3932.59
2,6126,49,13,18.44,0,3514.09
1,27411,41,13,13.43,0,4023.41
1,20475,79,28,13.9,0,4354.25
2,37708,91,23,29.54,1,5607.7
0,46786,17,49,29.5,0,4891.8
2,29787,77,38,30.67,0,5416.01
0,42286,50,35,11.13,0,4808.64
1,38404,21,30,24.39,1,4608.27
0,36272,93,6,32.04,0,4253.4
1,36296,35,40,32.11,0,4854.25
1,27458,99,6,23.09,1,4367.45
0,13484,42,23,25.92,1,2924.6
2,14129,50,29,18.54,1,4193.77
1,11206,72,24,14.25,1,3689.04
1,47266,14,39,14.13,1,5212.64
1,18278,7,44,32.44,1,3701.68
1,45641,41,21,15.87,0,5082.68
2,5471,24,34,28.34,0,3601.86
2,24942,35,38,20.76,1,4753.3
0,8064,90,12,20.83,0,2989.05
0,37480,45,20,20.29,0,4172.54
1,18797,94,25,20.37,1,4278.0
1,24589,48,7,33.17,1,3683.59
1,15782,39,18,16.16,0,3508.32
0,46243,58,3,12.25,1,4390.91
0,27806,28,21,25.4,0,3513.31
0,22973,75,45,17.0,1,4213.66
2,7811,57,39,21.27,0,4184.21
1,9630,25,11,27.42,0,2864.42
0,45465,3,25,10.42,1,4251.16
0,21107,70,3,24.76,0,3241.57
1,36987,22,26,15.34,0,4562.64
2,22919,55,15,29.27,1,4349.61
0,35384,21,30,18.62,0,4036.12
0,32389,91,31,21.16,1,4543.67
0,43582,92,4,18.9,1,4584.62
2,2122,68,36,31.82,0,3897.02
2,14169,52,5,18.39,1,3736.5
0,22374,14,37,22.23,0,3437.53
0,2490,91,8,25.03,0,2619.36
